car,track,frame,mode,draw,present,road,faces,upscale,player,opponents,total
4,0,12,0,132018,31517,17120,194,20250,34396,51316,163535
4,0,12,1,131868,31463,17143,194,20229,34348,51330,163331
4,1,1,0,140385,31451,18389,196,20237,37876,54927,171836
4,1,1,1,140276,31985,18343,196,20241,37875,54944,172261
4,1,2,0,118006,31474,19055,123,20251,28174,41476,149480
4,1,2,1,117804,31490,18997,123,20255,28135,41526,149294
4,1,3,0,126600,31465,14733,61,20232,35984,25271,158065
4,1,3,1,105990,31496,13720,61,20252,37205,25610,137486
4,1,4,0,142125,31494,13773,62,20223,39736,59152,173619
4,1,4,1,140056,31479,12636,62,20225,39521,58709,171535
4,1,5,0,142237,31495,19559,244,20216,38062,55428,173732
4,1,5,1,142152,31508,19597,244,20231,38071,55189,173660
4,1,6,0,118066,31519,19154,123,20249,28172,41510,149585
4,1,6,1,118575,31490,19105,123,20240,28332,41964,150065
4,1,7,0,104039,31435,13399,61,20228,35989,25312,135474
4,1,7,1,104258,31452,13419,61,20238,36059,25252,135710
4,1,8,0,140235,31490,12578,62,20222,39545,58753,171725
4,1,8,1,141587,31486,12777,62,20248,39734,59800,173073
4,1,9,0,142236,31530,19668,196,20223,37994,55163,173766
4,1,9,1,164554,31446,19595,196,20224,38549,55368,196000
4,1,10,0,118072,31470,19087,123,20249,28191,41487,149542
4,1,10,1,117888,31487,19068,123,20258,28161,41512,149375
4,1,11,0,105908,31953,14583,93,20243,36638,25365,137861
4,1,11,1,105437,31476,14596,93,20227,36105,25281,136913
4,1,12,0,148249,31508,14659,110,20249,42764,61518,179757
4,1,12,1,148168,31482,14681,110,20262,42678,61553,179650
4,2,1,0,163546,31520,16770,83,20226,38219,58019,195066
4,2,1,1,137703,31511,12219,83,20252,38216,58410,169214
4,2,2,0,157369,31477,27556,330,20259,39739,61025,188846
4,2,2,1,153434,31501,23756,330,20264,39770,60996,184935
4,2,3,0,109709,31441,19094,129,20233,36134,25504,141150
4,2,3,1,105149,31464,15098,129,20207,35663,25355,136613
4,2,4,0,150930,31479,14325,139,20246,41961,65774,182409
4,2,4,1,147877,31482,11421,139,20227,41981,65744,179359
4,2,5,0,133456,31485,14947,64,20219,36378,53128,164941
4,2,5,1,128219,31481,11238,64,20229,35159,52918,159700
4,2,6,0,141839,31483,31014,541,20237,32328,49537,173322
4,2,6,1,162114,31480,30292,541,20227,31857,49378,193594
4,2,7,0,105737,31466,20762,217,20248,31477,24523,137203
4,2,7,1,103913,31450,18815,217,20229,31453,24568,135363
4,2,8,0,126348,31491,13993,89,20243,33363,50081,157839
4,2,8,1,122774,32003,10800,89,20235,33263,49913,154777
4,2,9,0,116403,31472,16010,108,20232,28655,42917,147875
4,2,9,1,113224,31490,12700,108,20226,28739,42840,144714
4,2,10,0,126977,31448,16372,108,20233,32502,49169,158425
4,2,10,1,123432,31468,12751,108,20241,32446,49438,154900
4,2,11,0,124320,31457,35299,540,20236,34742,25134,155777
4,2,11,1,124003,31922,33506,540,20276,35015,26260,155925
4,2,12,0,158464,31480,18720,127,20226,35790,53134,189944
4,2,12,1,132899,31473,15021,127,20205,35801,53138,164372
5,0,1,0,125382,31460,12780,68,20215,32155,51420,156842
5,0,1,1,125545,31458,12838,68,20234,32208,51405,157003
5,0,2,0,127198,31458,15790,118,20205,32008,50251,158656
5,0,2,1,127249,31494,15738,118,20251,32011,50475,158743
5,0,3,0,103390,31447,14207,95,20243,31470,28389,134837
5,0,3,1,104151,31434,14242,95,20235,32397,28085,135585
5,0,4,0,129910,31492,12694,46,20205,35280,52806,161402
5,0,4,1,152420,31458,13773,46,20210,35199,52792,183878
5,0,5,0,138404,31473,25243,312,20255,32384,51661,169877
5,0,5,1,139685,31699,26326,312,20227,32379,51685,171384
5,0,6,0,129940,31474,15821,138,20239,32375,52545,161414
5,0,6,1,129028,31501,15817,138,20236,32135,52079,160529
5,0,7,0,106038,31434,13211,68,20231,34914,28630,137472
5,0,7,1,106191,31484,13275,68,20216,34930,28719,137675
5,0,8,0,141579,31467,14780,111,20230,38161,59419,173046
5,0,8,1,143092,31455,14578,111,20265,38402,60998,174547
5,0,9,0,135710,31472,14205,95,20245,35756,56719,167182
5,0,9,1,135952,31484,14198,95,20228,35792,56789,167436
5,0,10,0,161514,31440,13326,42,20216,38380,58996,192954
5,0,10,1,140115,31487,13402,42,20220,38367,59047,171602
5,0,11,0,120694,31450,24077,370,20234,38253,29110,152144
5,0,11,1,122129,31451,24651,370,20745,38506,29076,153580
5,0,12,0,133875,31496,17139,194,20240,33681,53883,165371
5,0,12,1,133734,31480,17145,194,20232,33660,53910,165214
5,1,1,0,142100,31434,18359,196,20245,37425,57191,173534
5,1,1,1,142042,31475,18363,196,20248,37414,57179,173517
5,1,2,0,142903,31691,20090,123,20226,27736,44185,174594
5,1,2,1,121484,31488,20167,123,20242,27730,44180,152972
